datetime,cellobject,DL_PRB_UTIL_NUM,DL_PRB_UTIL_DENOM,site,sector,sitesector,sitebeam,beam
2024_07_11_00_00,1011A-CMM-21,9.444,99.9999,1011A,Sector 1,1011A S1,1011A Beam 1,1
2024_07_11_00_00,1011A-CMM-22,5.8361,99.9999,1011A,Sector 2,1011A S2,1011A Beam 2,2
2024_07_11_00_00,1011A-CMM-23,9.9598,99.9998,1011A,Sector 3,1011A S3,1011A Beam 3,3
2024_07_11_00_00,1011A-CMM-71,8.1663,74.9999,1011A,Sector 1,1011A S1,1011A Beam 1,1
2024_07_11_00_00,1011A-CMM-72,9.0612,74.9998,1011A,Sector 2,1011A S2,1011A Beam 2,2
2024_07_11_00_00,1011A-DLC-51,4.9831,40,1011A,Sector 1,1011A S1,1011A Beam 1,1
2024_07_11_00_00,1011A-DLC-52,9.4461,40,1011A,Sector 2,1011A S2,1011A Beam 2,2
2024_07_11_00_00,1011A-DLC-53,5.0149,40,1011A,Sector 3,1011A S3,1011A Beam 3,3
2024_07_11_00_00,1011A-DLD-11,36.8968,100,1011A,Sector 1,1011A S1,1011A Beam 1,1
2024_07_11_00_00,1011A-DLD-12,18.4835,100,1011A,Sector 2,1011A S2,1011A Beam 2,2
2024_07_11_00_00,1011A-DLD-13,16.7873,100,1011A,Sector 3,1011A S3,1011A Beam 3,3
2024_07_11_00_00,1011A-DMM-21,8.2705,99.9999,1011A,Sector 1,1011A S1,1011A Beam 1,1
2024_07_11_00_00,1011A-DMM-23,11.557,99.9998,1011A,Sector 3,1011A S3,1011A Beam 3,3
2024_07_11_00_00,1011A-DMM-71,4.6628,74.9999,1011A,Sector 1,1011A S1,1011A Beam 1,1
2024_07_11_00_00,1011A-DMM-72,13.2391,74.9998,1011A,Sector 2,1011A S2,1011A Beam 2,2
2024_07_11_00_00,1011A-CMM-21A,8.8289,99.9999,1011A,Sector 1,1011A S1,1011A Beam A,A
2024_07_11_00_00,1011A-CMM-21C,6.6887,99.9999,1011A,Sector 1,1011A S1,1011A Beam C,C
2024_07_11_00_00,1011A-CMM-22C,48.9477,99.9998,1011A,Sector 2,1011A S2,1011A Beam C,C
2024_07_11_00_00,1011A-CMM-23C,6.0137,99.9998,1011A,Sector 3,1011A S3,1011A Beam C,C
2024_07_11_00_00,1011A-CMM-71C,7.5466,74.9999,1011A,Sector 1,1011A S1,1011A Beam C,C
2024_07_11_00_00,1011A-CMM-72A,10.2937,74.9998,1011A,Sector 2,1011A S2,1011A Beam A,A
2024_07_11_00_00,1011A-CMM-72C,17.6202,74.9998,1011A,Sector 2,1011A S2,1011A Beam C,C
2024_07_11_00_00,1011A-CMM-73C,12.6359,74.9999,1011A,Sector 3,1011A S3,1011A Beam C,C
2024_07_11_00_00,1011A-DMM-22C,20.1488,99.9998,1011A,Sector 2,1011A S2,1011A Beam C,C
2024_07_11_00_00,1011A-DMM-23C,6.3414,99.9998,1011A,Sector 3,1011A S3,1011A Beam C,C
2024_07_11_00_00,1011A-DMM-71A,10.7878,74.9999,1011A,Sector 1,1011A S1,1011A Beam A,A
2024_07_11_00_00,1011A-DMM-71C,15.891,74.9999,1011A,Sector 1,1011A S1,1011A Beam C,C
2024_07_11_00_00,1011A-DMM-72A,10.7986,74.9998,1011A,Sector 2,1011A S2,1011A Beam A,A
2024_07_11_00_00,1011A-DMM-72B,12.9968,74.9998,1011A,Sector 2,1011A S2,1011A Beam B,B
2024_07_11_00_00,1011A-DMM-72C,16.1909,74.9998,1011A,Sector 2,1011A S2,1011A Beam C,C
2024_07_11_00_00,1011A-DMM-73C,7.2808,74.9999,1011A,Sector 3,1011A S3,1011A Beam C,C
2024_07_11_00_00,1011A-CMM-73,6.811,74.9999,1011A,Sector 3,1011A S3,1011A Beam 3,3
2024_07_11_00_00,1011A-DMM-22,4.4715,99.9998,1011A,Sector 2,1011A S2,1011A Beam 2,2
2024_07_11_00_00,1011A-DMM-73,6.2156,74.9999,1011A,Sector 3,1011A S3,1011A Beam 3,3
2024_07_11_00_00,1011A-CMM-21B,7.9177,99.9999,1011A,Sector 1,1011A S1,1011A Beam B,B
2024_07_11_00_00,1011A-CMM-22A,6.5456,99.9998,1011A,Sector 2,1011A S2,1011A Beam A,A
2024_07_11_00_00,1011A-CMM-22B,4.1426,99.9998,1011A,Sector 2,1011A S2,1011A Beam B,B
2024_07_11_00_00,1011A-CMM-23A,3.7419,99.9998,1011A,Sector 3,1011A S3,1011A Beam A,A
2024_07_11_00_00,1011A-CMM-23B,5.232,99.9998,1011A,Sector 3,1011A S3,1011A Beam B,B
2024_07_11_00_00,1011A-CMM-71A,4.1144,74.9999,1011A,Sector 1,1011A S1,1011A Beam A,A
2024_07_11_00_00,1011A-CMM-71B,4.4959,74.9999,1011A,Sector 1,1011A S1,1011A Beam B,B
2024_07_11_00_00,1011A-CMM-72B,11.0574,74.9998,1011A,Sector 2,1011A S2,1011A Beam B,B
2024_07_11_00_00,1011A-CMM-73A,4.6142,74.9999,1011A,Sector 3,1011A S3,1011A Beam A,A
