KPI Name,KPI Formula
CELL_AVAILABILITY,100*sum(CELL_AVAIL_NUM)/sum(CELL_AVAIL_DENOM)
RRC_SETUP_SUCCESS_RATE,100*sum(RRC_SETUP_NUM)/sum(RRC_SETUP_DENOM)
RRC_SETUP_ATTEMPT,sum(RRC_SETUP_DENOM)
RRC_SETUP_FAILURE,sum(RRC_SETUP_DENOM)-sum(RRC_SETUP_NUM)
PS_SETUP_SUCCESS_RATE,100*sum(PSSR_NUM)/sum(PSSR_DENOM)
PS_SETUP_ATTEMPT,sum(PSSR_DENOM)
PS_SETUP_FAILURE,sum(PSSR_DENOM)-sum(PSSR_NUM)
ERAB_DROP_RATE,100*sum(ERAB_DROP_NUM)/sum(ERAB_DROP_DENOM)
ERAB_DROP_ATTEMPT,sum(ERAB_DROP_DENOM)
ERAB_DROP_COUNT,sum(ERAB_DROP_NUM)
INTRA_LTE_HO_SUCCESS_RATE,100*sum(INTRA_LTE_HO_NUM)/sum(INTRA_LTE_HO_DENOM)
INTRA_LTE_HO_FAILURE,sum(INTRA_LTE_HO_DENOM)-sum(INTRA_LTE_HO_NUM)
INTRA_LTE_HO_ATTEMPT,sum(INTRA_LTE_HO_DENOM)
VOLTE_SETUP_SUCCESS_RATE,100*sum(VOLTE_CSSR_NUM)/sum(VOLTE_CSSR_DENOM)
VOLTE_SETUP_FAILURE,sum(VOLTE_CSSR_DENOM)-sum(VOLTE_CSSR_NUM)
VOLTE_SETUP_ATTEMPT,sum(VOLTE_CSSR_DENOM)
VOLTE_DROP_RATE,100*sum(VOLTE_DROP_NUM)/sum(VOLTE_DROP_DENOM)
VOLTE_DROP_ATTEMPT,sum(VOLTE_DROP_DENOM)
VOLTE_DROP_COUNT,sum(VOLTE_DROP_NUM)
SRVCC_SETUP_SUCCESS_RATE,100*sum(SRVCC_NUM)/sum(SRVCC_DENOM)
SRVCC_SETUP_FAILURE,sum(SRVCC_DENOM)-sum(SRVCC_NUM)
SRVCC_SETUP_ATTEMPT,sum(SRVCC_DENOM)
DL_PRB_UTILIZATION,100*sum(DL_PRB_UTIL_NUM)/sum(DL_PRB_UTIL_DENOM)
AVG_DL_THROUGHPUT_MBPS,sum(AVG_DL_TP_MBPS_NUM)/sum(AVG_DL_TP_MBPS_DENOM)
AVG_UL_THROUGHPUT_MBPS,sum(AVG_UL_TP_MBPS_NUM)/sum(AVG_UL_TP_MBPS_DENOM)
DATA_TRAFFIC_GB,sum(LTE_DATA_TRAFFIC_GB)
VOLTE_TRAFFIC_ERL,sum(LTE_VOICE_TRAFFIC_ERL)
DL_PDCP_SDU_LOSS_RATE,100*sum(DL_PDCP_LOSS_NUM)/sum(DL_PDCP_LOSS_DENOM)
UL_PDCP_SDU_LOSS_RATE,100*sum(UL_PDCP_LOSS_NUM)/sum(UL_PDCP_LOSS_DENOM)
MAX_RRC_USER,sum(MAX_RRC_CONN_USER)
AVG_MAX_RRC_USER,avg(MAX_RRC_CONN_USER)
SUM_MAX_RRC_USER,sum(MAX_RRC_CONN_USER)
MAX_MAX_RRC_USER,max(MAX_RRC_CONN_USER)
VOLTE_LATENCY_MS,sum(VOLTE_LATENCY_MS_NUM)/sum(VOLTE_LATENCY_MS_DENOM)
AVG_RRC_CONN_USER,avg(AVG_RRC_CONN_USER)
SUM_AVG_RRC_CONN_USER,sum(AVG_RRC_CONN_USER)
